           z         mean           se
    0.500000   -12.360661     0.311337
    1.500000   -13.182523     0.234655
    2.500000   -14.345155     0.181215
    3.500000   -15.525919     0.166392
    4.500000   -16.824293     0.165741
    5.500000   -18.293138     0.117370
    6.500000   -19.846052     0.069744
    7.500000   -21.247155     0.040039
    8.500000   -22.433516     0.033744
    9.500000   -23.345322     0.025006
   10.500000   -23.935834     0.024175
   11.500000   -24.173289     0.019721
   12.500000   -24.028435     0.015761
   13.500000   -23.545906     0.023298
   14.500000   -22.697344     0.035609
   15.500000   -21.481818     0.053109
   16.500000   -19.974111     0.068679
   17.500000   -18.195329     0.067096
   18.500000   -16.083793     0.097532
   19.500000   -13.990049     0.120874
   20.500000   -11.782795     0.147852
   21.500000    -9.253611     0.231586
   22.500000    -6.724476     0.356839
   23.500000    -4.513174     0.365793
   24.500000    -2.205970     0.626323
   25.500000    -0.853885     0.554240
   26.500000    -0.376788     0.263370
   27.500000    -0.245167     0.245167
   28.500000     0.000000     0.000000
   29.500000     0.000000     0.000000
   30.500000     0.000000     0.000000
   31.500000     0.000000     0.000000
   32.500000     0.000000     0.000000
   33.500000     0.000000     0.000000
   34.500000     0.000000     0.000000
   35.500000     0.000000     0.000000
   36.500000     0.000000     0.000000
   37.500000     0.000000     0.000000
   38.500000     0.000000     0.000000
   39.500000     0.000000     0.000000
   40.500000     0.000000     0.000000
   41.500000     0.000000     0.000000
   42.500000     0.000000     0.000000
   43.500000     0.000000     0.000000
   44.500000     0.000000     0.000000
   45.500000     0.000000     0.000000
   46.500000     0.000000     0.000000
   47.500000     0.000000     0.000000
   48.500000     0.000000     0.000000
   49.500000     0.000000     0.000000
   50.500000     0.000000     0.000000
