x	PMF_mean	std_dev	std_error
0.500000	13.137902	0.066257	0.038254
1.500000	13.137902	0.066257	0.038254
2.500000	13.137902	0.066257	0.038254
3.500000	13.137902	0.066257	0.038254
4.500000	13.137902	0.066257	0.038254
5.500000	13.108706	0.051387	0.029668
6.500000	13.037549	0.079510	0.045905
7.500000	12.589677	0.218010	0.125868
8.500000	11.467370	0.526282	0.303849
9.500000	9.639320	0.829999	0.479200
10.500000	7.636885	0.952093	0.549691
11.500000	5.807677	0.836615	0.483020
12.500000	4.663839	0.811494	0.468516
13.500000	3.892732	0.943551	0.544760
14.500000	3.498116	1.058220	0.610964
15.500000	3.416817	0.941199	0.543402
16.500000	3.535530	0.845328	0.488051
17.500000	3.839998	0.645804	0.372855
18.500000	4.289469	0.541213	0.312470
19.500000	4.504797	0.503413	0.290646
20.500000	4.382898	0.428525	0.247409
21.500000	4.033279	0.376684	0.217479
22.500000	3.446293	0.290002	0.167433
23.500000	2.758127	0.172311	0.099484
24.500000	2.128183	0.190537	0.110007
25.500000	1.569296	0.120198	0.069396
26.500000	1.142380	0.132465	0.076479
27.500000	0.805193	0.144297	0.083310
28.500000	0.557391	0.132129	0.076285
29.500000	0.346385	0.101723	0.058730
30.500000	0.234255	0.124986	0.072161
31.500000	0.144798	0.142136	0.082062
32.500000	0.153654	0.160863	0.092874
33.500000	0.130242	0.142705	0.082391
34.500000	0.090881	0.125174	0.072269
35.500000	0.092127	0.107796	0.062236
36.500000	0.099011	0.031813	0.018367
37.500000	0.064077	0.020107	0.011609
38.500000	0.059299	0.009396	0.005425
39.500000	0.044798	0.040648	0.023468
40.500000	0.026418	0.027770	0.016033
41.500000	0.025182	0.045290	0.026148
42.500000	0.012828	0.036361	0.020993
43.500000	0.005156	0.037706	0.021770
44.500000	-0.001936	0.042006	0.024252
45.500000	-0.006923	0.028016	0.016175
46.500000	-0.032295	0.014954	0.008634
47.500000	-0.029876	0.009181	0.005301
48.500000	-0.008310	0.088879	0.051315
49.500000	0.009757	0.109859	0.063427
50.500000	0.045061	0.128734	0.074324
