x	PMF_mean	std_dev	std_error
0.500000	-16.745817	0.024977	0.014420
1.500000	-16.612246	0.016156	0.009327
2.500000	-16.335560	0.012939	0.007470
3.500000	-15.951859	0.010945	0.006319
4.500000	-15.469938	0.002651	0.001530
5.500000	-14.953609	0.005938	0.003428
6.500000	-14.468183	0.013967	0.008064
7.500000	-14.022063	0.004144	0.002392
8.500000	-13.624677	0.014301	0.008257
9.500000	-13.209480	0.023842	0.013765
10.500000	-12.738388	0.039324	0.022704
11.500000	-12.133308	0.086854	0.050145
12.500000	-11.322135	0.116166	0.067069
13.500000	-10.164308	0.135453	0.078204
14.500000	-8.683973	0.161958	0.093506
15.500000	-6.878489	0.140523	0.081131
16.500000	-4.850564	0.158951	0.091770
17.500000	-2.938290	0.108927	0.062889
18.500000	-1.364328	0.117083	0.067598
19.500000	-0.493965	0.093815	0.054164
20.500000	-0.131627	0.088093	0.050860
21.500000	-0.056680	0.042809	0.024716
22.500000	-0.019459	0.028413	0.016404
23.500000	-0.007681	0.013303	0.007681
24.500000	-0.002102	0.003640	0.002102
25.500000	-0.002102	0.003640	0.002102
26.500000	0.000000	0.000000	0.000000
27.500000	0.000000	0.000000	0.000000
28.500000	0.000000	0.000000	0.000000
29.500000	0.000000	0.000000	0.000000
30.500000	0.000000	0.000000	0.000000
31.500000	0.000000	0.000000	0.000000
32.500000	0.000000	0.000000	0.000000
33.500000	0.000000	0.000000	0.000000
34.500000	0.000000	0.000000	0.000000
35.500000	0.000000	0.000000	0.000000
36.500000	0.000000	0.000000	0.000000
37.500000	0.000000	0.000000	0.000000
38.500000	0.000000	0.000000	0.000000
39.500000	0.000000	0.000000	0.000000
40.500000	0.000000	0.000000	0.000000
41.500000	0.000000	0.000000	0.000000
42.500000	0.000000	0.000000	0.000000
43.500000	0.000000	0.000000	0.000000
44.500000	0.000000	0.000000	0.000000
45.500000	0.000000	0.000000	0.000000
46.500000	0.000000	0.000000	0.000000
47.500000	0.000000	0.000000	0.000000
48.500000	0.000000	0.000000	0.000000
49.500000	0.000000	0.000000	0.000000
50.500000	0.000000	0.000000	0.000000
