x	PMF_mean	std_dev	std_error
0.500000	-18.995592	2.826081	1.631638
1.500000	-18.866667	2.830442	1.634157
2.500000	-18.612554	2.822832	1.629763
3.500000	-18.233706	2.835368	1.637000
4.500000	-17.771324	2.848366	1.644505
5.500000	-17.297958	2.860285	1.651386
6.500000	-16.892877	2.859361	1.650853
7.500000	-16.580494	2.861294	1.651969
8.500000	-16.379145	2.855059	1.648369
9.500000	-16.196831	2.819043	1.627575
10.500000	-15.977304	2.797684	1.615244
11.500000	-15.612626	2.805393	1.619694
12.500000	-15.038908	2.822746	1.629713
13.500000	-14.212233	2.840585	1.640012
14.500000	-13.076334	2.836766	1.637807
15.500000	-11.597931	2.795481	1.613972
16.500000	-9.790690	2.734316	1.578658
17.500000	-7.660150	2.706438	1.562563
18.500000	-5.352837	2.740545	1.582254
19.500000	-3.069410	2.637355	1.522677
20.500000	-1.287157	2.526904	1.458909
21.500000	0.291611	2.427919	1.401760
22.500000	1.157560	2.448171	1.413452
23.500000	1.357650	1.195417	0.690174
24.500000	0.947116	0.832345	0.480555
25.500000	0.618225	0.543521	0.313802
26.500000	0.343682	0.435705	0.251554
27.500000	0.107921	0.307956	0.177799
28.500000	0.234057	0.523473	0.302227
29.500000	0.137100	0.639195	0.369040
30.500000	0.137100	0.639195	0.369040
31.500000	0.107921	0.307956	0.177799
32.500000	-0.098683	0.287397	0.165929
33.500000	-0.001726	0.128969	0.074460
34.500000	-0.001726	0.128969	0.074460
35.500000	-0.098701	0.087056	0.050262
36.500000	0.010924	0.181185	0.104607
37.500000	0.010924	0.181185	0.104607
38.500000	0.010924	0.181185	0.104607
39.500000	0.010924	0.181185	0.104607
40.500000	-0.076007	0.318216	0.183722
41.500000	-0.154780	0.449925	0.259764
42.500000	0.010924	0.181185	0.104607
43.500000	0.010924	0.181185	0.104607
44.500000	-0.001726	0.128969	0.074460
45.500000	-0.001726	0.128969	0.074460
46.500000	-0.001726	0.128969	0.074460
47.500000	-0.001726	0.128969	0.074460
48.500000	0.107921	0.307956	0.177799
49.500000	0.107921	0.307956	0.177799
50.500000	0.107921	0.307956	0.177799
51.500000	0.107921	0.307956	0.177799
52.500000	0.137100	0.639195	0.369040
53.500000	0.010964	0.438969	0.253439
54.500000	-0.075952	0.573029	0.330838
55.500000	-0.264361	0.570835	0.329572
56.500000	-0.154714	0.700320	0.404330
57.500000	-0.336367	0.694924	0.401215
58.500000	-0.226720	0.819269	0.473005
59.500000	-0.336367	0.694924	0.401215
60.500000	-0.402686	0.809384	0.467298
61.500000	-0.464151	0.915557	0.528597
62.500000	-0.575040	1.107244	0.639268
63.500000	-0.625439	1.194406	0.689591
64.500000	-0.625439	1.194406	0.689591
65.500000	-0.521424	1.014543	0.585747
66.500000	-0.166903	1.093669	0.631430
67.500000	0.198662	0.996132	0.575117
68.500000	0.563010	1.091071	0.629930
69.500000	1.177337	1.262813	0.729086
70.500000	1.905857	1.758396	1.015210
71.500000	2.741689	2.541567	1.467374
72.500000	3.259145	2.825514	1.631311
73.500000	3.259145	2.825514	1.631311
74.500000	3.259145	2.825514	1.631311
