x	PMF_mean	std_dev	std_error
0.500000	-1.596005	0.475925	0.274775
1.500000	-2.523430	0.605614	0.349651
2.500000	-4.152759	0.598302	0.345430
3.500000	-6.169620	0.430207	0.248380
4.500000	-8.194853	0.298862	0.172548
5.500000	-10.017406	0.199932	0.115431
6.500000	-11.581194	0.119197	0.068819
7.500000	-12.873538	0.048611	0.028066
8.500000	-13.886554	0.010698	0.006176
9.500000	-14.625081	0.046694	0.026959
10.500000	-15.094750	0.075858	0.043797
11.500000	-15.288913	0.100443	0.057991
12.500000	-15.201227	0.121851	0.070351
13.500000	-14.829023	0.123044	0.071039
14.500000	-14.166555	0.111606	0.064436
15.500000	-13.211136	0.089449	0.051644
16.500000	-11.973938	0.104923	0.060578
17.500000	-10.465665	0.173249	0.100026
18.500000	-8.738492	0.259439	0.149787
19.500000	-6.872612	0.346165	0.199858
20.500000	-5.017250	0.442075	0.255232
21.500000	-3.281947	0.606858	0.350370
22.500000	-1.912415	0.755522	0.436201
23.500000	-1.105478	0.872050	0.503478
24.500000	-0.627363	1.042230	0.601732
25.500000	-0.527242	0.991211	0.572276
26.500000	-0.517988	0.897065	0.517921
27.500000	-0.370093	0.851811	0.491793
28.500000	-0.191367	0.898959	0.519014
29.500000	-0.073326	0.867576	0.500895
30.500000	0.115006	0.871295	0.503042
31.500000	0.195782	0.741225	0.427947
32.500000	0.230400	0.686667	0.396447
33.500000	0.129318	0.681350	0.393378
34.500000	0.075089	0.657277	0.379479
35.500000	0.012827	0.601769	0.347432
36.500000	0.005764	0.475286	0.274406
37.500000	-0.013243	0.494012	0.285218
38.500000	-0.077776	0.414962	0.239579
39.500000	-0.119741	0.327571	0.189123
40.500000	-0.030718	0.325146	0.187723
41.500000	0.012094	0.287940	0.166242
42.500000	-0.046817	0.185439	0.107063
43.500000	-0.104895	0.094623	0.054631
44.500000	-0.084912	0.064400	0.037181
45.500000	-0.071060	0.043720	0.025242
46.500000	0.074752	0.080157	0.046279
47.500000	0.066421	0.221229	0.127726
48.500000	0.066941	0.281738	0.162662
49.500000	0.118193	0.325790	0.188095
50.500000	0.068675	0.411495	0.237577
51.500000	0.015400	0.307350	0.177449
52.500000	-0.058378	0.257695	0.148780
53.500000	-0.102161	0.150959	0.087156
54.500000	-0.102161	0.150959	0.087156
55.500000	-0.094622	0.080434	0.046439
56.500000	-0.233704	0.088545	0.051121
57.500000	-0.092041	0.008070	0.004659
58.500000	-0.185114	0.084298	0.048669
59.500000	-0.230010	0.195179	0.112687
60.500000	-0.324378	0.198820	0.114789
61.500000	-0.382934	0.293418	0.169405
62.500000	-0.216903	0.487505	0.281461
63.500000	-0.067964	0.588219	0.339609
64.500000	0.268894	0.621381	0.358755
65.500000	0.815616	0.478767	0.276416
66.500000	1.593630	0.439679	0.253849
67.500000	2.650180	0.307264	0.177399
68.500000	3.900036	0.244657	0.141253
69.500000	4.903043	0.205448	0.118615
70.500000	5.922460	0.120595	0.069626
71.500000	6.549890	0.581881	0.335949
72.500000	6.852785	0.057853	0.033401
73.500000	6.852785	0.057853	0.033401
74.500000	6.852785	0.057853	0.033401
