           z    400-600ns    600-800ns   800-1000ns
    0.500000    -7.836181    -9.011450    -9.553393
    1.500000    -7.771555    -8.950644    -9.514944
    2.500000    -7.661308    -8.840352    -9.408539
    3.500000    -7.464775    -8.586049    -9.188170
    4.500000    -7.271775    -8.395136    -8.953726
    5.500000    -7.053014    -8.163095    -8.758337
    6.500000    -7.008876    -8.078027    -8.660274
    7.500000    -7.126511    -8.087951    -8.732852
    8.500000    -7.355168    -8.316682    -8.933032
    9.500000    -7.702613    -8.604623    -9.277596
   10.500000    -7.974058    -8.918637    -9.577402
   11.500000    -8.100837    -9.088618    -9.730104
   12.500000    -8.002689    -8.929030    -9.600081
   13.500000    -7.665473    -8.491253    -9.156793
   14.500000    -6.898840    -7.788513    -8.365639
   15.500000    -5.802263    -6.703700    -7.255793
   16.500000    -4.524133    -5.296256    -5.817273
   17.500000    -3.084372    -3.655979    -4.100489
   18.500000    -1.485338    -2.154643    -2.377533
   19.500000    -0.041245    -0.613781    -0.907696
   20.500000     0.959799     0.461456     0.161607
   21.500000     1.509354     1.092810     0.593298
   22.500000     1.384296     0.872479     0.528962
   23.500000     1.117944     0.562677     0.124684
   24.500000     0.511153     0.065404    -0.191494
   25.500000     0.203720    -0.235858    -0.249332
   26.500000    -0.057605    -0.401401    -0.613009
   27.500000    -0.153598    -0.443098    -0.368358
   28.500000    -0.352248    -0.411607    -0.406816
   29.500000    -0.098938    -0.315877    -0.374092
   30.500000    -0.144861    -0.302913    -0.338035
   31.500000     0.024344    -0.339279    -0.146444
   32.500000    -0.157084    -0.099992    -0.029345
   33.500000    -0.122004    -0.338114    -0.012872
   34.500000     0.051632    -0.215144     0.037204
   35.500000    -0.156212    -0.266014     0.060917
   36.500000    -0.071158    -0.067770     0.109024
   37.500000    -0.112272    -0.261213     0.088294
   38.500000     0.066815    -0.184370     0.213502
   39.500000     0.129455    -0.131808     0.091738
   40.500000     0.201711    -0.052156     0.110760
   41.500000     0.079219    -0.036444    -0.007909
   42.500000     0.036540     0.007275     0.045647
   43.500000     0.023408     0.088760    -0.016175
   44.500000    -0.050347    -0.110217     0.074569
   45.500000    -0.029362    -0.024596     0.083139
   46.500000    -0.005429    -0.015342    -0.019474
   47.500000    -0.143986     0.198789    -0.048972
   48.500000    -0.120238    -0.124209    -0.084562
   49.500000     0.008483     0.068140    -0.137022
   50.500000    -0.014661     0.022018     0.037204
   51.500000    -0.179626     0.353389     0.100366
   52.500000    -0.118470     0.193028    -0.086168
   53.500000    -0.092692     0.223420     0.133427
   54.500000     0.036540     0.171541     0.033834
   55.500000    -0.082845    -0.002063     0.112496
   56.500000     0.086883     0.008611     0.096911
   57.500000     0.015935     0.013965     0.018727
   58.500000     0.075396     0.113728    -0.048972
   59.500000     0.139231     0.198789    -0.169846
   60.500000     0.118744     0.081868     0.012042
   61.500000     0.129455    -0.011365    -0.220579
   62.500000     0.129455     0.158736     0.022076
   63.500000     0.297913     0.062670     0.079707
   64.500000     0.431808     0.274904     0.272033
   65.500000     0.822529     0.586107     0.863757
   66.500000     1.421492     1.240986     1.673708
   67.500000     2.564397     2.115768     2.512086
   68.500000     4.088251     2.885448     3.675166
   69.500000     5.897017     4.362716     5.576749
   70.500000     7.494616     6.256878     7.385223
   71.500000     9.083490     8.697247     8.866671
   72.500000    10.970542    11.113926     9.360022
   73.500000    11.719728    13.213187    10.670304
   74.500000    13.279937    13.213187    10.249265
