z	401-600ns	601-800ns	801-1000ns
    0.500000   -19.660705   -23.870582   -23.924049
    1.500000   -19.562222   -23.765490   -23.814109
    2.500000   -19.275165   -23.532946   -23.565477
    3.500000   -18.944316   -23.192770   -23.166293
    4.500000   -18.548919   -22.775261   -22.716199
    5.500000   -18.100011   -22.253462   -22.279838
    6.500000   -17.764006   -21.865115   -21.877811
    7.500000   -17.510763   -21.586400   -21.656686
    8.500000   -17.388463   -21.446404   -21.543290
    9.500000   -17.375822   -21.431523   -21.437027
   10.500000   -17.219590   -21.350494   -21.270417
   11.500000   -16.921696   -21.052051   -20.910271
   12.500000   -16.312825   -20.433554   -20.293393
   13.500000   -15.365065   -19.516934   -19.329992
   14.500000   -14.043565   -18.142796   -17.956252
   15.500000   -12.389012   -16.403135   -16.242517
   16.500000   -10.386743   -14.298990   -14.338509
   17.500000    -8.135018   -11.693533   -11.952489
   18.500000    -5.743922    -9.003708    -9.735839
   19.500000    -3.566879    -6.155672    -7.256698
   20.500000    -0.945915    -5.209305    -5.209296
   21.500000     0.868300    -2.206526    -3.676275
   22.500000     1.662426    -0.848043    -1.987218
   23.500000     2.981215    -0.459523    -1.746999
   24.500000     2.981215     0.000000    -0.459521
   25.500000     4.165806     0.000000     0.000000
   26.500000     2.981215     0.000000     0.000000
   27.500000     3.317766     0.000000     0.000000
   28.500000     1.959285     0.000000     0.000000
   29.500000     0.489530     0.000000     0.000000
   30.500000     1.856398     0.000000     0.000000
   31.500000     0.671806     0.000000     0.000000
   32.500000     1.156658     0.000000     0.000000
   33.500000     1.396877     0.000000     0.000000
   34.500000     0.868300     0.000000     0.000000
   35.500000     0.735617     0.000000     0.000000
   36.500000     0.319552     0.000000     0.000000
   37.500000     0.010547     0.000000     0.000000
   38.500000     0.735617     0.000000     0.000000
   39.500000     0.010547     0.000000     0.000000
   40.500000    -0.176234     0.000000     0.000000
   41.500000     0.059488     0.000000     0.000000
   42.500000    -0.176234     0.000000     0.000000
   43.500000    -0.665583     0.000000     0.000000
   44.500000     0.735617     0.000000     0.000000
   45.500000    -0.176234     0.000000     0.000000
   46.500000    -0.307763     0.000000     0.000000
   47.500000     0.868300     0.000000     0.000000
   48.500000    -0.220844     0.000000     0.000000
   49.500000     0.059488     0.000000     0.000000
   50.500000    -1.167979     0.000000     0.000000
   51.500000    -0.844409     0.000000     0.000000
   52.500000    -0.978861     0.000000     0.000000
   53.500000    -0.473093     0.000000     0.000000
   54.500000    -0.844409     0.000000     0.000000
   55.500000    -0.264678     0.000000     0.000000
   56.500000    -0.264678     0.000000     0.000000
   57.500000     0.212285     0.000000     0.000000
   58.500000     0.319552     0.000000     0.000000
   59.500000    -0.264678     0.000000     0.000000
   60.500000    -0.176234     0.000000     0.000000
   61.500000    -0.130821     0.000000     0.000000
   62.500000     0.431588     0.000000     0.000000
   63.500000     0.160317     0.000000     0.000000
   64.500000     1.156658     0.000000     0.000000
   65.500000     0.374947     0.000000     0.000000
   66.500000     1.856398     0.000000     0.000000
   67.500000     2.684356     0.000000     0.000000
   68.500000     3.706285     0.000000     0.000000
   69.500000     4.165806     0.000000     0.000000
   70.500000     4.165806     0.000000     0.000000
   71.500000     4.165806     0.000000     0.000000
   72.500000     4.165806     0.000000     0.000000
