           z    400-600ns    600-800ns   800-1000ns
    0.500000     0.496864     0.225709     0.617263
    1.500000     0.669768     0.317665     0.511643
    2.500000     0.770695     0.442113     0.481887
    3.500000     0.863932     0.574662     0.313171
    4.500000     0.746853     0.559657     0.139632
    5.500000     0.303380     0.121364    -0.416099
    6.500000    -0.661977    -0.725544    -1.368016
    7.500000    -1.787272    -1.884741    -2.533801
    8.500000    -3.020283    -3.071213    -3.720655
    9.500000    -4.118487    -4.095195    -4.730968
   10.500000    -4.963883    -4.836436    -5.577927
   11.500000    -5.415762    -5.295193    -6.019214
   12.500000    -5.531027    -5.445962    -6.109943
   13.500000    -5.297612    -5.156535    -5.853115
   14.500000    -4.685813    -4.512865    -5.216974
   15.500000    -3.725792    -3.557225    -4.255494
   16.500000    -2.445769    -2.290552    -3.024627
   17.500000    -0.985406    -0.832982    -1.520740
   18.500000     0.639040     0.824846     0.111674
   19.500000     2.156239     2.101869     1.683235
   20.500000     3.392406     3.120203     2.545671
   21.500000     3.722749     3.290181     2.664780
   22.500000     3.186546     2.597994     2.341059
   23.500000     2.517337     1.851476     1.719072
   24.500000     1.824106     1.128986     1.072915
   25.500000     1.134310     0.602624     0.707768
   26.500000     0.823081     0.256375     0.345242
   27.500000     0.471652     0.008069     0.042479
   28.500000     0.304866    -0.093836    -0.130425
   29.500000     0.168626    -0.171909    -0.223826
   30.500000     0.203786    -0.124265    -0.213901
   31.500000     0.121484    -0.181864    -0.188774
   32.500000     0.166656    -0.093334    -0.145066
   33.500000     0.159632    -0.089063    -0.101775
   34.500000     0.163282    -0.037503    -0.018736
   35.500000     0.106604    -0.083274    -0.026705
   36.500000     0.101664    -0.072668    -0.016586
   37.500000     0.090993    -0.070643    -0.024562
   38.500000     0.043123    -0.014043    -0.049249
   39.500000     0.039911    -0.036477    -0.085086
   40.500000     0.070057    -0.057949    -0.115993
   41.500000     0.018862    -0.066841    -0.059843
   42.500000    -0.014088    -0.054637    -0.089268
   43.500000    -0.060792    -0.113831     0.026488
   44.500000    -0.020888    -0.021543    -0.027623
   45.500000    -0.025064     0.080699     0.071583
   46.500000     0.044195    -0.017149     0.023364
   47.500000     0.011443    -0.027991     0.061739
   48.500000    -0.048164     0.148844     0.026488
   49.500000     0.024440     0.130399     0.083064
   50.500000     0.010650     0.190071    -0.014127
   51.500000    -0.004906     0.194006     0.024613
   52.500000    -0.051521     0.228274    -0.040743
   53.500000    -0.093739     0.187545    -0.106227
   54.500000    -0.059249     0.147739    -0.104744
   55.500000    -0.098809     0.080161    -0.169474
   56.500000    -0.047647     0.085813    -0.141268
   57.500000    -0.054357     0.189509    -0.169474
   58.500000    -0.014612     0.271123     0.025550
   59.500000     0.138676     0.341710     0.315273
   60.500000     0.354389     0.589756     0.605044
   61.500000     0.717275     0.927718     1.013962
   62.500000     1.078349     1.349067     1.616576
   63.500000     1.641363     1.947766     2.330122
   64.500000     2.276144     2.722973     3.183938
   65.500000     3.180027     3.658920     4.452165
   66.500000     4.599558     4.824452     6.172170
   67.500000     6.035037     6.897175     8.541354
   68.500000     7.660847     8.920011    11.167747
   69.500000     7.449814     9.275854    13.160163
   70.500000    10.188525    13.373865    16.046320
   71.500000    14.070857    16.479167    16.894348
   72.500000    16.450889    17.327106    16.894348
   73.500000    17.298683    17.327106    16.894348
