           z    400-600ns    600-800ns   800-1000ns
    0.500000     2.624141     3.358648     2.153236
    1.500000     2.693798     3.290609     2.046695
    2.500000     2.710201     3.145042     2.005308
    3.500000     2.933755     3.213813     2.049304
    4.500000     2.631786     3.302844     1.996600
    5.500000     2.136889     3.072494     1.652518
    6.500000     0.989336     2.191007     0.974159
    7.500000    -0.298808     1.028427    -0.383697
    8.500000    -1.585769    -0.361568    -1.856050
    9.500000    -2.763738    -1.662100    -3.050353
   10.500000    -3.732959    -2.616355    -4.088888
   11.500000    -4.400567    -3.238176    -4.696974
   12.500000    -4.674078    -3.605776    -4.890962
   13.500000    -4.525026    -3.595647    -4.722278
   14.500000    -4.094738    -3.192250    -4.243774
   15.500000    -3.333786    -2.511308    -3.473135
   16.500000    -2.222581    -1.542814    -2.366773
   17.500000    -0.892499    -0.423838    -1.148034
   18.500000     0.351385     0.921828     0.279433
   19.500000     1.498358     1.945215     1.429390
   20.500000     2.262666     2.756156     2.135884
   21.500000     2.319519     2.875208     2.215485
   22.500000     1.880848     2.420771     1.883609
   23.500000     1.275327     1.803740     1.339947
   24.500000     0.584952     1.178445     0.803840
   25.500000     0.089712     0.688941     0.374335
   26.500000    -0.221638     0.360162     0.019815
   27.500000    -0.301001     0.135195    -0.156608
   28.500000    -0.457852     0.029633    -0.204034
   29.500000    -0.422016    -0.024994    -0.269382
   30.500000    -0.457103    -0.047275    -0.210220
   31.500000    -0.367093    -0.044208    -0.125076
   32.500000    -0.325002    -0.080955    -0.059671
   33.500000    -0.269111    -0.065246    -0.088006
   34.500000    -0.189971    -0.106275    -0.054011
   35.500000    -0.222872    -0.115771     0.013289
   36.500000    -0.101155    -0.106628     0.024020
   37.500000    -0.162327    -0.147687     0.074075
   38.500000    -0.087743    -0.092142     0.040203
   39.500000    -0.023376    -0.038604    -0.010344
   40.500000    -0.036692    -0.050700     0.057911
   41.500000    -0.031152     0.003919    -0.004341
   42.500000     0.022430     0.043991     0.107684
   43.500000    -0.068365     0.005208    -0.022767
   44.500000    -0.061580     0.037268    -0.031929
   45.500000     0.018354     0.018501    -0.004110
   46.500000     0.016545    -0.012774    -0.024602
   47.500000     0.054354    -0.006183    -0.009191
   48.500000     0.055731    -0.014419    -0.031929
   49.500000     0.030373    -0.024812    -0.036726
   50.500000    -0.016692     0.007234    -0.002722
   51.500000     0.004142     0.002447     0.019115
   52.500000    -0.034256    -0.037699     0.018182
   53.500000    -0.000128     0.017021    -0.005497
   54.500000    -0.020036    -0.006183     0.039262
   55.500000     0.001894     0.011661     0.027997
   56.500000    -0.090128     0.006682    -0.049701
   57.500000    -0.016023    -0.024994    -0.011728
   58.500000    -0.067928    -0.014784     0.016317
   59.500000     0.013608     0.021465     0.035501
   60.500000     0.126280     0.099769     0.227454
   61.500000     0.399608     0.270205     0.509814
   62.500000     0.752717     0.566604     0.874587
   63.500000     1.254553     1.022355     1.369277
   64.500000     1.813085     1.519652     2.026434
   65.500000     2.507298     2.273431     3.027751
   66.500000     3.577668     3.357952     4.213883
   67.500000     5.289622     4.573797     6.062743
   68.500000     7.148987     6.457569     7.996129
   69.500000     9.638984     8.423436    10.990393
   70.500000     9.608310    11.156241    12.382769
   71.500000    11.049418    15.798145    15.636513
   72.500000    13.747277    17.358291    16.775661
   73.500000    16.852498    17.358291    17.623669
