           z    400-600ns    600-800ns   800-1000ns
    0.500000    -9.565978    -8.826567    -9.224277
    1.500000    -9.599867    -8.926504    -9.492556
    2.500000    -9.984863    -9.296404    -9.579768
    3.500000   -10.523113    -9.744858   -10.008098
    4.500000   -11.374961   -10.410250   -10.940674
    5.500000   -12.480685   -11.483312   -12.053928
    6.500000   -13.939675   -12.926206   -13.443310
    7.500000   -15.288918   -14.488320   -14.928612
    8.500000   -16.495546   -15.732647   -16.194915
    9.500000   -17.520864   -16.779774   -17.174480
   10.500000   -18.256789   -17.485648   -17.833143
   11.500000   -18.585371   -17.778691   -18.195651
   12.500000   -18.452811   -17.714114   -18.177250
   13.500000   -17.993699   -17.327948   -17.778237
   14.500000   -17.185169   -16.576135   -17.012027
   15.500000   -15.944462   -15.533164   -15.871068
   16.500000   -14.474864   -14.069947   -14.474805
   17.500000   -12.776393   -12.153808   -12.789883
   18.500000   -10.951677   -10.007932   -10.669253
   19.500000    -9.050648    -7.884426    -8.518993
   20.500000    -7.455917    -5.544488    -6.685953
   21.500000    -5.520511    -3.868741    -4.916761
   22.500000    -3.929340    -3.134874    -3.025094
   23.500000    -2.733317    -2.636277    -2.278139
   24.500000    -2.677718    -2.435135    -1.105243
   25.500000    -1.734197    -1.773877    -1.196903
   26.500000    -2.249854    -0.987581     0.432848
   27.500000    -2.077550    -0.845949     0.320812
   28.500000    -1.491252    -0.680372     0.011807
   29.500000    -1.679104    -0.365951     0.060748
   30.500000    -0.643211    -0.931880    -0.174974
   31.500000    -0.864263    -0.066889     0.903851
   32.500000    -0.330550     0.118365     1.663686
   33.500000    -0.513932     0.664802     1.315493
   34.500000    -0.282542     0.664802     0.869560
   35.500000    -0.233600     1.129632     0.903851
   36.500000    -0.354216     1.434478     0.187427
   37.500000     0.110020     1.066620     0.704770
   38.500000    -0.643211     1.996881     0.520269
   39.500000    -0.491726     1.194261     0.110658
   40.500000    -0.106921     1.066620    -0.608103
   41.500000    -0.233600     0.535524    -0.390523
   42.500000    -0.423909     0.718429    -0.737382
   43.500000    -0.902452     0.249893    -0.174974
   44.500000    -0.158359    -0.801860    -0.306502
   45.500000    -0.557766    -0.486401     0.293564
   46.500000    -0.183690    -0.400956     0.404369
   47.500000     0.679518    -0.294446     0.161577
   48.500000     0.609503    -0.220853     0.348358
   49.500000     1.277677    -0.365951     1.009617
   50.500000     1.943441    -0.145046    -0.129560
   51.500000     1.563309    -0.183234     0.110658
   52.500000     2.688125     0.436673    -0.306502
   53.500000     3.211456     0.205284    -0.531139
   54.500000     4.435122    -0.066889     0.060748
   55.500000     3.211456     0.718429     0.580281
   56.500000     4.138263     0.249893     0.348358
   57.500000     3.413194     0.461025     1.157918
   58.500000     4.138263    -0.330452     0.869560
   59.500000     3.632496     0.535524     0.641757
   60.500000     4.435122     1.621257     1.315493
   61.500000     3.872715     2.385397     0.938616
   62.500000     5.160190     1.582777     1.483581
   63.500000     4.771671     1.582777     2.123206
   64.500000     4.435122     2.908722     5.914053
   65.500000     4.771671     1.097929     3.926843
   66.500000     5.619709     2.385397     5.914053
   67.500000     5.619709     5.490807     5.914053
   68.500000     5.619709     6.338807     5.914053
