           z         mean           se
  -69.500000     0.000003     0.000002
  -68.500000     0.000010     0.000003
  -67.500000     0.000044     0.000009
  -66.500000     0.000167     0.000031
  -65.500000     0.000453     0.000064
  -64.500000     0.000999     0.000116
  -63.500000     0.001779     0.000169
  -62.500000     0.002704     0.000208
  -61.500000     0.003457     0.000220
  -60.500000     0.004029     0.000234
  -59.500000     0.004387     0.000184
  -58.500000     0.004503     0.000201
  -57.500000     0.004562     0.000194
  -56.500000     0.004575     0.000199
  -55.500000     0.004501     0.000177
  -54.500000     0.004510     0.000183
  -53.500000     0.004522     0.000194
  -52.500000     0.004516     0.000169
  -51.500000     0.004506     0.000189
  -50.500000     0.004537     0.000146
  -49.500000     0.004509     0.000138
  -48.500000     0.004493     0.000172
  -47.500000     0.004486     0.000187
  -46.500000     0.004466     0.000178
  -45.500000     0.004496     0.000172
  -44.500000     0.004557     0.000193
  -43.500000     0.004537     0.000194
  -42.500000     0.004498     0.000197
  -41.500000     0.004483     0.000201
  -40.500000     0.004444     0.000214
  -39.500000     0.004467     0.000226
  -38.500000     0.004434     0.000232
  -37.500000     0.004513     0.000220
  -36.500000     0.004515     0.000213
  -35.500000     0.004487     0.000223
  -34.500000     0.004460     0.000183
  -33.500000     0.004485     0.000172
  -32.500000     0.004453     0.000176
  -31.500000     0.004512     0.000172
  -30.500000     0.004581     0.000141
  -29.500000     0.004537     0.000165
  -28.500000     0.004563     0.000154
  -27.500000     0.004478     0.000148
  -26.500000     0.004370     0.000158
  -25.500000     0.004109     0.000130
  -24.500000     0.003708     0.000128
  -23.500000     0.003147     0.000096
  -22.500000     0.002713     0.000107
  -21.500000     0.002465     0.000115
  -20.500000     0.002700     0.000152
  -19.500000     0.003741     0.000207
  -18.500000     0.006027     0.000272
  -17.500000     0.010457     0.000518
  -16.500000     0.017599     0.000898
  -15.500000     0.027022     0.001271
  -14.500000     0.036878     0.001554
  -13.500000     0.044690     0.001749
  -12.500000     0.047741     0.001922
  -11.500000     0.044021     0.001860
  -10.500000     0.034842     0.001454
   -9.500000     0.024321     0.001055
   -8.500000     0.015349     0.000735
   -7.500000     0.008615     0.000476
   -6.500000     0.004302     0.000277
   -5.500000     0.001894     0.000126
   -4.500000     0.000852     0.000060
   -3.500000     0.000436     0.000053
   -2.500000     0.000343     0.000065
   -1.500000     0.000308     0.000050
   -0.500000     0.000319     0.000050
    0.500000     0.000334     0.000057
    1.500000     0.000330     0.000063
    2.500000     0.000337     0.000051
    3.500000     0.000460     0.000066
    4.500000     0.000810     0.000086
    5.500000     0.001722     0.000137
    6.500000     0.003666     0.000205
    7.500000     0.007458     0.000361
    8.500000     0.013777     0.000704
    9.500000     0.022239     0.001151
   10.500000     0.031635     0.001501
   11.500000     0.039309     0.001625
   12.500000     0.042085     0.001537
   13.500000     0.038814     0.001422
   14.500000     0.031181     0.001261
   15.500000     0.022039     0.000855
   16.500000     0.014086     0.000597
   17.500000     0.008422     0.000350
   18.500000     0.005044     0.000241
   19.500000     0.003123     0.000169
   20.500000     0.002209     0.000120
   21.500000     0.002144     0.000117
   22.500000     0.002516     0.000096
   23.500000     0.003057     0.000078
   24.500000     0.003588     0.000089
   25.500000     0.004010     0.000119
   26.500000     0.004331     0.000118
   27.500000     0.004514     0.000114
   28.500000     0.004545     0.000127
   29.500000     0.004565     0.000102
   30.500000     0.004523     0.000127
   31.500000     0.004496     0.000099
   32.500000     0.004497     0.000096
   33.500000     0.004431     0.000076
   34.500000     0.004427     0.000090
   35.500000     0.004408     0.000111
   36.500000     0.004424     0.000089
   37.500000     0.004410     0.000086
   38.500000     0.004446     0.000099
   39.500000     0.004416     0.000109
   40.500000     0.004432     0.000109
   41.500000     0.004396     0.000113
   42.500000     0.004413     0.000105
   43.500000     0.004440     0.000136
   44.500000     0.004440     0.000136
   45.500000     0.004460     0.000144
   46.500000     0.004481     0.000173
   47.500000     0.004456     0.000157
   48.500000     0.004530     0.000170
   49.500000     0.004504     0.000182
   50.500000     0.004513     0.000193
   51.500000     0.004509     0.000198
   52.500000     0.004526     0.000191
   53.500000     0.004525     0.000208
   54.500000     0.004489     0.000200
   55.500000     0.004491     0.000186
   56.500000     0.004483     0.000206
   57.500000     0.004474     0.000175
   58.500000     0.004421     0.000175
   59.500000     0.004411     0.000179
   60.500000     0.004377     0.000164
   61.500000     0.004437     0.000197
   62.500000     0.004360     0.000186
   63.500000     0.004137     0.000232
   64.500000     0.003766     0.000231
   65.500000     0.003022     0.000218
   66.500000     0.002165     0.000185
   67.500000     0.001294     0.000147
   68.500000     0.000641     0.000082
   69.500000     0.000280     0.000042
   70.500000     0.000090     0.000016
   71.500000     0.000022     0.000006
   72.500000     0.000003     0.000001
   73.500000     0.000000     0.000000
