           z         mean           se
  -74.500000     0.000001     0.000001
  -73.500000     0.000004     0.000001
  -72.500000     0.000023     0.000007
  -71.500000     0.000096     0.000018
  -70.500000     0.000275     0.000036
  -69.500000     0.000718     0.000070
  -68.500000     0.001541     0.000122
  -67.500000     0.002981     0.000197
  -66.500000     0.004670     0.000260
  -65.500000     0.006510     0.000273
  -64.500000     0.008054     0.000250
  -63.500000     0.009282     0.000234
  -62.500000     0.009812     0.000214
  -61.500000     0.010205     0.000185
  -60.500000     0.010341     0.000216
  -59.500000     0.010368     0.000167
  -58.500000     0.010353     0.000197
  -57.500000     0.010476     0.000196
  -56.500000     0.010491     0.000162
  -55.500000     0.010472     0.000177
  -54.500000     0.010421     0.000177
  -53.500000     0.010367     0.000140
  -52.500000     0.010398     0.000141
  -51.500000     0.010318     0.000155
  -50.500000     0.010391     0.000141
  -49.500000     0.010289     0.000161
  -48.500000     0.010451     0.000124
  -47.500000     0.010446     0.000168
  -46.500000     0.010433     0.000146
  -45.500000     0.010527     0.000139
  -44.500000     0.010583     0.000200
  -43.500000     0.010543     0.000163
  -42.500000     0.010652     0.000168
  -41.500000     0.010620     0.000159
  -40.500000     0.010741     0.000229
  -39.500000     0.010706     0.000222
  -38.500000     0.010700     0.000238
  -37.500000     0.010817     0.000227
  -36.500000     0.010783     0.000228
  -35.500000     0.010810     0.000249
  -34.500000     0.010825     0.000227
  -33.500000     0.010957     0.000266
  -32.500000     0.010970     0.000275
  -31.500000     0.010945     0.000321
  -30.500000     0.010911     0.000322
  -29.500000     0.010729     0.000323
  -28.500000     0.010505     0.000320
  -27.500000     0.009957     0.000368
  -26.500000     0.009199     0.000286
  -25.500000     0.008096     0.000286
  -24.500000     0.006816     0.000235
  -23.500000     0.005381     0.000189
  -22.500000     0.004121     0.000147
  -21.500000     0.003210     0.000127
  -20.500000     0.002900     0.000155
  -19.500000     0.003105     0.000211
  -18.500000     0.003835     0.000274
  -17.500000     0.004886     0.000406
  -16.500000     0.005757     0.000528
  -15.500000     0.005996     0.000586
  -14.500000     0.005703     0.000582
  -13.500000     0.004459     0.000474
  -12.500000     0.002915     0.000351
  -11.500000     0.001610     0.000253
  -10.500000     0.000731     0.000148
   -9.500000     0.000272     0.000065
   -8.500000     0.000086     0.000028
   -7.500000     0.000029     0.000013
   -6.500000     0.000009     0.000003
   -5.500000     0.000002     0.000002
   -4.500000     0.000000     0.000000
   -3.500000     0.000000     0.000000
   -2.500000     0.000000     0.000000
   -1.500000     0.000000     0.000000
   -0.500000     0.000000     0.000000
    0.500000     0.000000     0.000000
    1.500000     0.000000     0.000000
    2.500000     0.000000     0.000000
    3.500000     0.000000     0.000000
    4.500000     0.000000     0.000000
    5.500000     0.000000     0.000000
    6.500000     0.000005     0.000002
    7.500000     0.000020     0.000004
    8.500000     0.000094     0.000017
    9.500000     0.000324     0.000051
   10.500000     0.000897     0.000102
   11.500000     0.001912     0.000143
   12.500000     0.003403     0.000251
   13.500000     0.004729     0.000289
   14.500000     0.005686     0.000284
   15.500000     0.005917     0.000257
   16.500000     0.005469     0.000193
   17.500000     0.004544     0.000154
   18.500000     0.003554     0.000123
   19.500000     0.002847     0.000114
   20.500000     0.002842     0.000116
   21.500000     0.003057     0.000143
   22.500000     0.003877     0.000164
   23.500000     0.004988     0.000217
   24.500000     0.006227     0.000232
   25.500000     0.007413     0.000275
   26.500000     0.008486     0.000303
   27.500000     0.009129     0.000303
   28.500000     0.009612     0.000308
   29.500000     0.009918     0.000312
   30.500000     0.010040     0.000320
   31.500000     0.010032     0.000359
   32.500000     0.010037     0.000339
   33.500000     0.010025     0.000357
   34.500000     0.010092     0.000320
   35.500000     0.009977     0.000320
   36.500000     0.010009     0.000275
   37.500000     0.009954     0.000288
   38.500000     0.010103     0.000263
   39.500000     0.010017     0.000266
   40.500000     0.010088     0.000260
   41.500000     0.010016     0.000236
   42.500000     0.010077     0.000238
   43.500000     0.010098     0.000222
   44.500000     0.010233     0.000251
   45.500000     0.010235     0.000218
   46.500000     0.010268     0.000252
   47.500000     0.010194     0.000181
   48.500000     0.010229     0.000187
   49.500000     0.010101     0.000220
   50.500000     0.010036     0.000187
   51.500000     0.009984     0.000185
   52.500000     0.009969     0.000157
   53.500000     0.010164     0.000163
   54.500000     0.009978     0.000169
   55.500000     0.009909     0.000165
   56.500000     0.010021     0.000126
   57.500000     0.009886     0.000123
   58.500000     0.010011     0.000125
   59.500000     0.009891     0.000133
   60.500000     0.009947     0.000113
   61.500000     0.010021     0.000122
   62.500000     0.009944     0.000125
   63.500000     0.010122     0.000138
   64.500000     0.010047     0.000133
   65.500000     0.009850     0.000123
   66.500000     0.009613     0.000171
   67.500000     0.008883     0.000222
   68.500000     0.007630     0.000250
   69.500000     0.006036     0.000279
   70.500000     0.004137     0.000239
   71.500000     0.002466     0.000160
   72.500000     0.001271     0.000105
   73.500000     0.000538     0.000056
   74.500000     0.000197     0.000029
   75.500000     0.000066     0.000012
   76.500000     0.000014     0.000004
   77.500000     0.000003     0.000002
   78.500000     0.000001     0.000001
