x	PMF_mean	std_dev	std_error
0.500000	2.775604	0.445792	0.257378
1.500000	2.770889	0.491078	0.283524
2.500000	2.760829	0.425406	0.245608
3.500000	2.760763	0.310460	0.179244
4.500000	2.740474	0.239175	0.138088
5.500000	2.467771	0.200936	0.116011
6.500000	1.784026	0.245698	0.141854
7.500000	0.596983	0.222353	0.128375
8.500000	-0.706132	0.154033	0.088931
9.500000	-1.907284	0.113778	0.065690
10.500000	-2.845061	0.103869	0.059969
11.500000	-3.469205	0.132110	0.076274
12.500000	-3.728683	0.140072	0.080870
13.500000	-3.664691	0.152448	0.088016
14.500000	-3.263274	0.176668	0.101999
15.500000	-2.559968	0.221448	0.127853
16.500000	-1.573368	0.277171	0.160025
17.500000	-0.442338	0.268722	0.155147
18.500000	0.725047	0.227387	0.131282
19.500000	1.741855	0.169047	0.097599
20.500000	2.340244	0.170346	0.098349
21.500000	2.387156	0.087707	0.050637
22.500000	1.960052	0.077240	0.044594
23.500000	1.366623	0.091194	0.052651
24.500000	0.803591	0.131697	0.076035
25.500000	0.381804	0.164409	0.094922
26.500000	0.088504	0.174757	0.100896
27.500000	-0.085378	0.187385	0.108187
28.500000	-0.163292	0.182545	0.105393
29.500000	-0.193740	0.180261	0.104074
30.500000	-0.188612	0.148853	0.085940
31.500000	-0.143327	0.136179	0.078623
32.500000	-0.117387	0.117223	0.067679
33.500000	-0.077843	0.101768	0.058756
34.500000	-0.068721	0.096657	0.055805
35.500000	-0.061054	0.090796	0.052421
36.500000	-0.051752	0.066297	0.038277
37.500000	-0.052159	0.038730	0.022361
38.500000	-0.038605	0.041648	0.024045
39.500000	-0.034367	0.011097	0.006407
40.500000	-0.020639	0.008209	0.004739
41.500000	-0.016322	0.026245	0.015152
42.500000	-0.007662	0.018055	0.010424
43.500000	-0.006007	0.010484	0.006053
44.500000	-0.006474	0.026807	0.015477
45.500000	0.007900	0.018798	0.010853
46.500000	0.013247	0.031940	0.018440
47.500000	0.012060	0.026694	0.015412
48.500000	0.005491	0.023218	0.013405
49.500000	0.018406	0.018905	0.010915
50.500000	0.032946	0.009384	0.005418
