x	PMF_mean	std_dev	std_error
0.500000	11.677021	1.011884	0.584212
1.500000	10.066241	0.823070	0.475200
2.500000	7.595541	0.867094	0.500617
3.500000	5.023526	0.785200	0.453335
4.500000	2.388015	0.728572	0.420641
5.500000	0.003710	0.687116	0.396707
6.500000	-2.076835	0.659870	0.380976
7.500000	-3.811932	0.620489	0.358239
8.500000	-5.252436	0.577508	0.333424
9.500000	-6.388481	0.540529	0.312075
10.500000	-7.254762	0.512701	0.296008
11.500000	-7.846153	0.500661	0.289057
12.500000	-8.178205	0.499426	0.288344
13.500000	-8.232979	0.498733	0.287943
14.500000	-8.003149	0.493288	0.284800
15.500000	-7.465750	0.491705	0.283886
16.500000	-6.620723	0.493558	0.284956
17.500000	-5.472555	0.481045	0.277731
18.500000	-4.077528	0.465319	0.268652
19.500000	-2.502070	0.432884	0.249925
20.500000	-0.981337	0.340474	0.196573
21.500000	0.193667	0.256480	0.148079
22.500000	0.662263	0.240492	0.138848
23.500000	0.689194	0.224003	0.129328
24.500000	0.526879	0.137582	0.079433
25.500000	0.336135	0.102584	0.059227
26.500000	0.206336	0.050441	0.029122
27.500000	0.122734	0.083967	0.048479
28.500000	0.096127	0.116991	0.067545
29.500000	0.088195	0.110430	0.063757
30.500000	0.106122	0.101862	0.058810
31.500000	0.128789	0.108660	0.062735
32.500000	0.155679	0.070992	0.040987
33.500000	0.158872	0.037812	0.021831
34.500000	0.153859	0.024192	0.013967
35.500000	0.150612	0.042254	0.024396
36.500000	0.126516	0.063277	0.036533
37.500000	0.094190	0.119108	0.068767
38.500000	0.077368	0.132376	0.076427
39.500000	0.050385	0.131990	0.076205
40.500000	0.066885	0.120460	0.069548
41.500000	0.058785	0.087476	0.050504
42.500000	0.036266	0.048798	0.028174
43.500000	0.010547	0.036200	0.020900
44.500000	-0.003814	0.036673	0.021173
45.500000	-0.010419	0.051071	0.029486
46.500000	-0.015377	0.062165	0.035891
47.500000	-0.038972	0.064485	0.037230
48.500000	-0.054802	0.057069	0.032949
49.500000	-0.049099	0.060336	0.034835
50.500000	-0.053577	0.100872	0.058239
51.500000	-0.065984	0.139474	0.080525
52.500000	-0.074125	0.153079	0.088380
53.500000	-0.064451	0.133913	0.077315
54.500000	-0.045314	0.142551	0.082302
55.500000	-0.026460	0.151290	0.087347
56.500000	-0.019462	0.171903	0.099248
57.500000	0.005724	0.207650	0.119887
58.500000	0.035251	0.187008	0.107969
59.500000	0.082139	0.219892	0.126955
60.500000	0.166069	0.271385	0.156684
61.500000	0.391079	0.325753	0.188074
62.500000	0.750417	0.416677	0.240569
63.500000	1.325344	0.531679	0.306965
64.500000	2.187167	0.678700	0.391847
65.500000	3.340336	0.802982	0.463602
66.500000	4.737037	0.929649	0.536733
67.500000	6.399153	1.092547	0.630782
68.500000	8.437865	1.299495	0.750264
69.500000	10.194102	1.042094	0.601653
70.500000	12.000189	1.027824	0.593415
71.500000	13.100331	0.755203	0.436017
72.500000	13.474543	0.410529	0.237019
73.500000	13.474543	0.410529	0.237019
74.500000	13.474543	0.410529	0.237019
